Record,Date & Time, Int temp, Int pressure, LH temp, RH temp,Unnamed: 6
1345001,20/06/2023 19:12:50,34.8,14.87674,149.8,150.1,1
1345002,20/06/2023 19:13:50,40.1,-0.3576389,149.8,149.8,1
1345003,20/06/2023 19:14:50,42.9,-0.8278357,149.9,149.6,0
1345004,20/06/2023 19:15:50,42.5,-0.8596643,150.3,149.6,0
1345005,20/06/2023 19:16:50,42.5,-0.675926,150.1,149.9,0
1345006,20/06/2023 19:17:50,42.5,-0.5963542,150.3,150.3,0
1345007,20/06/2023 19:18:50,42.4,-0.5818865,150.2,150.3,0
1345008,20/06/2023 19:19:50,42.4,-0.573206,150.5,150.5,0
1345009,20/06/2023 19:20:50,42.4,-0.5659722,150.5,150.3,0
1345010,20/06/2023 19:21:50,42.4,-0.5572917,150.3,150.1,0
1345011,20/06/2023 19:22:50,42.4,-0.5572917,150.2,149.8,0
1345012,20/06/2023 19:23:50,42.3,-0.5543981,150.3,149.6,0
1345013,20/06/2023 19:24:50,42.3,-0.5529514,150.5,149.7,0
1345014,20/06/2023 19:25:50,42.2,-0.5543981,150.6,149.6,0
1345015,20/06/2023 19:26:50,42.2,-0.5543981,150.6,150.3,0
1345016,20/06/2023 19:27:50,42.1,-0.5529514,150.5,150.5,0
1345017,20/06/2023 19:28:50,42.1,-0.5529514,150.5,150.3,0
1345018,20/06/2023 19:29:50,42.0,-0.5529514,150.4,150.0,0
1345019,20/06/2023 19:30:50,41.9,-0.5529514,150.2,149.7,0
1345020,20/06/2023 19:31:50,41.9,-0.5543981,150.1,149.6,0
1345021,20/06/2023 19:32:50,41.8,-0.5558449,150.0,150.1,0
1345022,20/06/2023 19:33:50,41.7,-0.5529514,149.9,150.5,0
1345023,20/06/2023 19:34:50,41.7,-0.5543981,149.9,150.5,0
1345024,20/06/2023 19:35:50,41.6,-0.5529514,150.0,150.4,0
1345025,20/06/2023 19:36:50,41.5,-0.5543981,150.0,150.1,0
1345026,20/06/2023 19:37:50,41.3,-0.5543981,149.9,149.9,0
1345027,20/06/2023 19:38:50,41.2,-0.5543981,149.9,149.6,0
1345028,20/06/2023 19:39:50,41.2,-0.5543981,149.8,149.6,0
1345029,20/06/2023 19:40:50,41.1,-0.5543981,149.8,150.0,0
1345030,20/06/2023 19:41:50,50.9,-0.7526041,149.8,150.2,0
1345031,20/06/2023 19:42:50,47.0,-0.7280092,150.1,150.4,0
1345032,20/06/2023 19:43:50,45.7,-0.7193287,149.9,150.1,0
1345033,20/06/2023 19:44:50,45.4,-0.7120949,149.9,149.8,0
1345034,20/06/2023 19:45:50,45.1,-0.7034143,149.9,149.6,0
1345035,20/06/2023 19:46:50,44.7,-0.6875,149.8,150.3,0
1345036,20/06/2023 19:47:50,44.5,-0.6802662,150.4,150.4,0
1345037,20/06/2023 19:48:50,44.3,-0.6744792,150.5,150.1,0
1345038,20/06/2023 19:49:50,44.2,-0.6715856,150.4,149.6,0
1345039,20/06/2023 19:50:50,44.1,-0.6629051,150.6,150.1,0
1345040,20/06/2023 19:51:50,43.9,-0.6614583,150.6,150.4,0
1345041,20/06/2023 19:52:50,43.7,-0.6484375,150.5,149.8,0
1345042,20/06/2023 19:53:50,43.6,-0.6397569,150.5,149.5,0
1345043,20/06/2023 19:54:50,44.8,-0.6846065,150.6,149.8,0
1345044,20/06/2023 19:55:50,82.7,-0.8119213,150.4,150.4,0
1345045,20/06/2023 19:56:50,71.4,-0.8350694,150.4,150.0,0
1345046,20/06/2023 19:57:50,99.3,-0.4820602,150.1,149.9,0
1345047,20/06/2023 19:58:50,100.6,-0.537037,149.9,149.7,0
1345048,20/06/2023 19:59:50,121.0,1.527488,149.9,149.8,1
1345049,20/06/2023 20:00:50,153.7,4.651042,149.7,150.4,1
1345050,20/06/2023 20:01:50,175.3,8.376447,149.8,149.9,1
1345051,20/06/2023 20:02:50,188.9,11.37558,150.4,149.6,1
1345052,20/06/2023 20:03:50,196.3,13.40249,150.5,150.6,1
1345053,20/06/2023 20:04:50,173.5,8.866898,150.6,149.9,1
1345054,20/06/2023 20:05:50,193.7,12.7717,150.8,149.8,1
1345055,20/06/2023 20:06:50,198.9,14.07957,150.7,150.6,1
1345056,20/06/2023 20:07:50,200.6,14.58883,150.6,150.0,1
1345057,20/06/2023 20:08:50,201.4,14.7827,150.7,149.6,1
1345058,20/06/2023 20:09:50,201.6,14.83767,150.6,150.5,1
1345059,20/06/2023 20:10:50,201.5,14.7827,150.6,150.0,1
1345060,20/06/2023 20:11:50,201.0,14.62066,150.4,149.6,1
1345061,20/06/2023 20:12:50,201.8,14.9809,150.3,150.5,1
1345062,20/06/2023 20:13:50,202.2,15.06626,150.4,150.0,1
1345063,20/06/2023 20:14:50,201.9,14.98524,150.2,149.5,1
1345064,20/06/2023 20:15:50,186.5,10.86921,150.3,149.6,1
1345065,20/06/2023 20:16:50,181.0,24.42969,150.6,150.4,1
1345066,20/06/2023 20:17:50,178.7,24.48756,150.6,150.1,1
1345067,20/06/2023 20:18:50,174.2,24.55411,150.5,149.6,1
1345068,20/06/2023 20:19:50,170.7,24.71036,150.5,150.3,1
1345069,20/06/2023 20:20:50,166.8,24.71759,150.4,149.9,1
1345070,20/06/2023 20:21:50,163.4,24.50636,150.7,149.6,1
1345071,20/06/2023 20:22:50,159.5,24.55845,150.6,150.3,1
1345072,20/06/2023 20:23:50,156.0,24.53096,150.7,150.3,1
1345073,20/06/2023 20:24:50,153.1,24.5816,150.5,150.2,1
1345074,20/06/2023 20:25:50,149.9,24.44994,150.7,149.8,1
1345075,20/06/2023 20:26:50,146.8,24.52807,150.7,149.6,1
1345076,20/06/2023 20:27:50,143.8,24.47598,150.5,150.1,1
1345077,20/06/2023 20:28:50,140.9,24.36603,150.5,150.4,1
1345078,20/06/2023 20:29:50,137.9,24.37761,150.6,150.3,1
1345079,20/06/2023 20:30:50,135.1,24.4919,150.4,150.1,1
1345080,20/06/2023 20:31:50,132.4,24.4022,150.6,149.7,1
