Record,Date & Time, Int temp, Int pressure, LH temp, RH temp
847501,2/27/23 2:49 AM,1.26E+02,2.46E+01,4.71E+01,1.56E+02
847502,2/27/23 2:50 AM,1.22E+02,2.46E+01,4.70E+01,1.55E+02
847503,2/27/23 2:51 AM,1.19E+02,2.46E+01,4.69E+01,1.56E+02
847504,2/27/23 2:52 AM,1.17E+02,2.46E+01,4.69E+01,1.55E+02
847505,2/27/23 2:53 AM,1.14E+02,2.46E+01,4.69E+01,1.56E+02
847506,2/27/23 2:54 AM,1.11E+02,2.46E+01,4.68E+01,1.55E+02
847507,2/27/23 2:55 AM,1.09E+02,2.47E+01,4.67E+01,1.56E+02
847508,2/27/23 2:56 AM,1.06E+02,2.47E+01,4.67E+01,1.55E+02
847509,2/27/23 2:57 AM,1.04E+02,2.47E+01,4.66E+01,1.56E+02
847510,2/27/23 2:58 AM,1.02E+02,2.47E+01,4.66E+01,1.55E+02
847511,2/27/23 2:59 AM,1.01E+02,2.47E+01,4.66E+01,1.56E+02
847512,2/27/23 3:00 AM,9.94E+01,2.47E+01,4.66E+01,1.54E+02
847513,2/27/23 3:01 AM,9.81E+01,2.47E+01,4.66E+01,1.56E+02
847514,2/27/23 3:02 AM,9.69E+01,2.47E+01,4.64E+01,1.55E+02
847515,2/27/23 3:03 AM,3.60E+01,1.88E+01,4.63E+01,1.56E+02
847516,2/27/23 3:04 AM,3.38E+01,1.26E+01,4.63E+01,1.55E+02
847517,2/27/23 3:05 AM,3.34E+01,1.54E+01,4.62E+01,1.56E+02
847518,2/27/23 3:06 AM,3.32E+01,1.46E+01,4.61E+01,1.55E+02
847519,2/27/23 3:07 AM,3.31E+01,1.39E+01,4.62E+01,1.56E+02
847520,2/27/23 3:08 AM,3.63E+01,-2.89E-04,4.61E+01,1.55E+02
847521,2/27/23 3:09 AM,3.61E+01,-3.98E-01,4.60E+01,1.56E+02
847522,2/27/23 3:10 AM,3.64E+01,-2.98E-01,4.60E+01,1.55E+02
847523,2/27/23 3:11 AM,3.63E+01,-2.43E-01,4.58E+01,1.55E+02
847524,2/27/23 3:12 AM,3.62E+01,-1.96E-01,4.58E+01,1.55E+02
847525,2/27/23 3:13 AM,3.63E+01,-2.01E-01,4.57E+01,1.55E+02
847526,2/27/23 3:14 AM,1.00E+02,-2.01E-01,4.57E+01,1.55E+02
847527,2/27/23 3:15 AM,1.54E+02,9.29E+00,4.57E+01,1.55E+02
847528,2/27/23 3:16 AM,2.00E+02,1.52E+01,4.56E+01,1.55E+02
847529,2/27/23 3:17 AM,2.03E+02,1.56E+01,4.56E+01,1.55E+02
847530,2/27/23 3:18 AM,2.03E+02,1.58E+01,4.55E+01,1.55E+02
847531,2/27/23 3:19 AM,2.04E+02,1.58E+01,4.55E+01,1.55E+02
847532,2/27/23 3:20 AM,1.96E+02,1.52E+01,4.54E+01,1.56E+02
847533,2/27/23 3:21 AM,2.03E+02,1.57E+01,4.54E+01,1.54E+02
847534,2/27/23 3:22 AM,2.04E+02,1.58E+01,4.53E+01,1.56E+02
847535,2/27/23 3:23 AM,2.03E+02,1.58E+01,4.52E+01,1.54E+02
847536,2/27/23 3:24 AM,2.04E+02,1.58E+01,4.53E+01,1.55E+02
847537,2/27/23 3:25 AM,2.03E+02,1.58E+01,4.53E+01,1.55E+02
847538,2/27/23 3:26 AM,2.04E+02,1.59E+01,4.52E+01,1.55E+02
847539,2/27/23 3:27 AM,2.04E+02,1.58E+01,4.51E+01,1.55E+02
847540,2/27/23 3:28 AM,1.69E+02,2.43E+01,4.51E+01,1.55E+02
847541,2/27/23 3:29 AM,1.71E+02,2.48E+01,4.51E+01,1.55E+02
847542,2/27/23 3:30 AM,1.67E+02,2.50E+01,4.50E+01,1.55E+02
847543,2/27/23 3:31 AM,1.61E+02,2.50E+01,4.50E+01,1.55E+02
847544,2/27/23 3:32 AM,1.56E+02,2.47E+01,4.50E+01,1.55E+02
847545,2/27/23 3:33 AM,1.51E+02,2.47E+01,4.50E+01,1.55E+02
847546,2/27/23 3:34 AM,1.47E+02,2.47E+01,4.49E+01,1.55E+02
847547,2/27/23 3:35 AM,1.43E+02,2.47E+01,4.49E+01,1.55E+02
847548,2/27/23 3:36 AM,1.38E+02,2.49E+01,4.49E+01,1.55E+02
847549,2/27/23 3:37 AM,1.35E+02,2.43E+01,4.48E+01,1.56E+02
847550,2/27/23 3:38 AM,1.31E+02,2.46E+01,4.47E+01,1.55E+02
847551,2/27/23 3:39 AM,1.27E+02,2.46E+01,4.47E+01,1.55E+02
847552,2/27/23 3:40 AM,1.24E+02,2.46E+01,4.47E+01,1.55E+02
847553,2/27/23 3:41 AM,1.21E+02,2.47E+01,4.46E+01,1.55E+02
847554,2/27/23 3:42 AM,1.18E+02,2.49E+01,4.46E+01,1.55E+02
847555,2/27/23 3:43 AM,1.16E+02,2.45E+01,4.47E+01,1.55E+02
847556,2/27/23 3:44 AM,1.13E+02,2.49E+01,4.47E+01,1.55E+02
847557,2/27/23 3:45 AM,1.10E+02,2.45E+01,4.46E+01,1.55E+02
847558,2/27/23 3:46 AM,1.08E+02,2.47E+01,4.47E+01,1.55E+02
847559,2/27/23 3:47 AM,1.06E+02,2.50E+01,4.46E+01,1.55E+02
847560,2/27/23 3:48 AM,1.04E+02,2.47E+01,4.47E+01,1.55E+02
847561,2/27/23 3:49 AM,1.02E+02,2.47E+01,4.47E+01,1.55E+02
847562,2/27/23 3:50 AM,1.01E+02,2.47E+01,4.46E+01,1.55E+02
847563,2/27/23 3:51 AM,9.96E+01,2.47E+01,4.46E+01,1.55E+02
847564,2/27/23 3:52 AM,9.84E+01,2.47E+01,4.47E+01,1.55E+02
847565,2/27/23 3:53 AM,5.60E+01,6.28E+00,4.46E+01,1.55E+02
847566,2/27/23 3:54 AM,3.66E+01,1.56E+01,4.46E+01,1.55E+02
847567,2/27/23 3:55 AM,3.40E+01,1.39E+01,4.47E+01,1.55E+02
847568,2/27/23 3:56 AM,3.37E+01,1.23E+01,4.46E+01,1.55E+02
847569,2/27/23 3:57 AM,3.35E+01,1.22E+01,4.46E+01,1.55E+02
847570,2/27/23 3:58 AM,3.37E+01,-1.23E-01,4.46E+01,1.56E+02
847571,2/27/23 3:59 AM,3.62E+01,-4.40E-01,4.45E+01,1.55E+02
847572,2/27/23 4:00 AM,3.55E+01,-2.10E-01,4.45E+01,1.56E+02
847573,2/27/23 4:01 AM,3.99E+01,-6.08E-03,4.44E+01,1.55E+02
847574,2/27/23 4:02 AM,3.97E+01,-8.97E-03,4.44E+01,1.55E+02
847575,2/27/23 4:03 AM,7.60E+01,-8.71E-02,4.44E+01,1.55E+02
847576,2/27/23 4:04 AM,1.00E+02,-9.00E-02,4.43E+01,1.55E+02
847577,2/27/23 4:05 AM,1.64E+02,1.01E+01,4.43E+01,1.55E+02
847578,2/27/23 4:06 AM,2.01E+02,1.54E+01,4.43E+01,1.54E+02
847579,2/27/23 4:07 AM,2.03E+02,1.57E+01,4.43E+01,1.56E+02
847580,2/27/23 4:08 AM,2.03E+02,1.55E+01,4.42E+01,1.54E+02
847581,2/27/23 4:09 AM,2.03E+02,1.57E+01,4.43E+01,1.55E+02
847582,2/27/23 4:10 AM,1.99E+02,1.54E+01,4.42E+01,1.55E+02
847583,2/27/23 4:11 AM,2.04E+02,1.58E+01,4.41E+01,1.55E+02
847584,2/27/23 4:12 AM,2.04E+02,1.58E+01,4.41E+01,1.55E+02
847585,2/27/23 4:13 AM,2.03E+02,1.58E+01,4.41E+01,1.55E+02
847586,2/27/23 4:14 AM,2.04E+02,1.58E+01,4.41E+01,1.56E+02
847587,2/27/23 4:15 AM,2.04E+02,1.58E+01,4.40E+01,1.55E+02
847588,2/27/23 4:16 AM,2.04E+02,1.58E+01,4.39E+01,1.56E+02
847589,2/27/23 4:17 AM,2.04E+02,1.58E+01,4.39E+01,1.55E+02
847590,2/27/23 4:18 AM,1.69E+02,2.47E+01,4.39E+01,1.56E+02
847591,2/27/23 4:19 AM,1.71E+02,2.43E+01,4.39E+01,1.55E+02
847592,2/27/23 4:20 AM,1.66E+02,2.44E+01,4.39E+01,1.56E+02
847593,2/27/23 4:21 AM,1.60E+02,2.46E+01,4.40E+01,1.55E+02
847594,2/27/23 4:22 AM,1.55E+02,2.47E+01,4.38E+01,1.56E+02
847595,2/27/23 4:23 AM,1.51E+02,2.47E+01,4.38E+01,1.55E+02
847596,2/27/23 4:24 AM,1.46E+02,2.47E+01,4.39E+01,1.55E+02
847597,2/27/23 4:25 AM,1.42E+02,2.47E+01,4.38E+01,1.55E+02
847598,2/27/23 4:26 AM,1.38E+02,2.47E+01,4.38E+01,1.55E+02
847599,2/27/23 4:27 AM,1.34E+02,2.47E+01,4.38E+01,1.55E+02
847600,2/27/23 4:28 AM,1.31E+02,2.47E+01,4.38E+01,1.55E+02
847601,2/27/23 4:29 AM,1.27E+02,2.48E+01,4.38E+01,1.55E+02
847602,2/27/23 4:30 AM,1.24E+02,2.47E+01,4.38E+01,1.55E+02
847603,2/27/23 4:31 AM,1.21E+02,2.47E+01,4.37E+01,1.55E+02
847604,2/27/23 4:32 AM,1.18E+02,2.47E+01,4.37E+01,1.55E+02
847605,2/27/23 4:33 AM,1.15E+02,2.47E+01,4.36E+01,1.55E+02
847606,2/27/23 4:34 AM,1.13E+02,2.47E+01,4.36E+01,1.55E+02
847607,2/27/23 4:35 AM,1.10E+02,2.47E+01,4.36E+01,1.55E+02
847608,2/27/23 4:36 AM,1.08E+02,2.47E+01,4.35E+01,1.55E+02
847609,2/27/23 4:37 AM,1.06E+02,2.47E+01,4.36E+01,1.55E+02
847610,2/27/23 4:38 AM,1.04E+02,2.47E+01,4.35E+01,1.54E+02
847611,2/27/23 4:39 AM,1.03E+02,2.47E+01,4.34E+01,1.55E+02
847612,2/27/23 4:40 AM,1.01E+02,2.47E+01,4.34E+01,1.55E+02
847613,2/27/23 4:41 AM,9.98E+01,2.47E+01,4.33E+01,1.55E+02
847614,2/27/23 4:42 AM,9.87E+01,2.47E+01,4.33E+01,1.55E+02
847615,2/27/23 4:43 AM,4.63E+01,5.44E+00,4.32E+01,1.55E+02
847616,2/27/23 4:44 AM,3.59E+01,1.20E+01,4.32E+01,1.55E+02
847617,2/27/23 4:45 AM,3.40E+01,1.40E+01,4.31E+01,1.55E+02
847618,2/27/23 4:46 AM,3.38E+01,1.56E+01,4.30E+01,1.55E+02
847619,2/27/23 4:47 AM,3.36E+01,1.35E+01,4.30E+01,1.55E+02
847620,2/27/23 4:48 AM,3.55E+01,1.41E-01,4.30E+01,1.56E+02
847621,2/27/23 4:49 AM,3.70E+01,-3.33E-01,4.29E+01,1.55E+02
847622,2/27/23 4:50 AM,3.63E+01,-1.26E-01,4.29E+01,1.56E+02
847623,2/27/23 4:51 AM,3.65E+01,-1.22E-01,4.29E+01,1.55E+02
847624,2/27/23 4:52 AM,3.65E+01,-1.98E-01,4.28E+01,1.55E+02
847625,2/27/23 4:53 AM,3.61E+01,-2.82E-01,4.27E+01,1.55E+02
847626,2/27/23 4:54 AM,3.62E+01,-1.77E-01,4.27E+01,1.54E+02
847627,2/27/23 4:55 AM,3.58E+01,-2.26E-01,4.26E+01,1.56E+02
847628,2/27/23 4:56 AM,3.58E+01,-1.72E-01,4.26E+01,1.54E+02
847629,2/27/23 4:57 AM,4.84E+01,-1.65E-01,4.24E+01,1.56E+02
847630,2/27/23 4:58 AM,9.84E+01,2.88E+00,4.23E+01,1.54E+02
847631,2/27/23 4:59 AM,1.85E+02,1.31E+01,4.24E+01,1.56E+02
847632,2/27/23 5:00 AM,2.02E+02,1.54E+01,4.23E+01,1.54E+02
847633,2/27/23 5:01 AM,2.03E+02,1.57E+01,4.23E+01,1.56E+02
847634,2/27/23 5:02 AM,2.03E+02,1.58E+01,4.22E+01,1.54E+02
847635,2/27/23 5:03 AM,1.60E+02,1.08E+01,4.23E+01,1.55E+02
847636,2/27/23 5:04 AM,2.02E+02,1.56E+01,4.22E+01,1.55E+02
847637,2/27/23 5:05 AM,2.03E+02,1.58E+01,4.22E+01,1.55E+02
847638,2/27/23 5:06 AM,2.04E+02,1.58E+01,4.23E+01,1.55E+02
