Record,Date & Time, Int temp, Int pressure, Dome temp,
1410001,2/26/23 3:19 AM,2.99E+01,-3.50E-02,3.42E+01,0.00E+00
1410002,2/26/23 3:20 AM,2.99E+01,-3.50E-02,3.42E+01,0.00E+00
1410003,2/26/23 3:21 AM,3.00E+01,-3.50E-02,3.42E+01,0.00E+00
1410004,2/26/23 3:22 AM,3.00E+01,-3.50E-02,3.42E+01,0.00E+00
1410005,2/26/23 3:23 AM,3.00E+01,-3.50E-02,3.41E+01,0.00E+00
1410006,2/26/23 3:24 AM,3.00E+01,-3.50E-02,3.41E+01,0.00E+00
1410007,2/26/23 3:25 AM,3.00E+01,-3.36E-02,3.41E+01,0.00E+00
1410008,2/26/23 3:26 AM,3.00E+01,-3.65E-02,3.41E+01,0.00E+00
1410009,2/26/23 3:27 AM,3.00E+01,-3.21E-02,3.41E+01,0.00E+00
1410010,2/26/23 3:28 AM,3.00E+01,-3.50E-02,3.41E+01,0.00E+00
1410011,2/26/23 3:29 AM,3.00E+01,-3.50E-02,3.41E+01,0.00E+00
1410012,2/26/23 3:30 AM,3.00E+01,-3.65E-02,3.40E+01,0.00E+00
1410013,2/26/23 3:31 AM,3.00E+01,-3.50E-02,3.40E+01,0.00E+00
1410014,2/26/23 3:34 AM,3.01E+01,-2.34E-02,3.41E+01,0.00E+00
1410015,2/26/23 3:35 AM,3.01E+01,-2.49E-02,3.41E+01,0.00E+00
1410016,2/26/23 3:36 AM,3.01E+01,-2.20E-02,3.41E+01,0.00E+00
1410017,2/26/23 3:37 AM,3.01E+01,-2.34E-02,3.42E+01,0.00E+00
1410018,2/26/23 3:38 AM,3.01E+01,-2.49E-02,3.42E+01,0.00E+00
1410019,2/26/23 3:39 AM,3.01E+01,-2.34E-02,3.41E+01,0.00E+00
1410020,2/26/23 3:40 AM,3.01E+01,-2.20E-02,3.42E+01,0.00E+00
1410021,2/26/23 3:41 AM,3.01E+01,-2.34E-02,3.41E+01,0.00E+00
1410022,2/26/23 3:42 AM,3.01E+01,-2.20E-02,3.40E+01,0.00E+00
1410023,2/26/23 3:43 AM,3.01E+01,-2.34E-02,3.39E+01,0.00E+00
1410024,2/26/23 3:44 AM,3.01E+01,-3.79E-02,3.40E+01,0.00E+00
1410025,2/26/23 3:45 AM,3.17E+01,6.48E-02,3.42E+01,0.00E+00
1410026,2/26/23 3:46 AM,3.43E+01,8.39E-03,3.50E+01,0.00E+00
