Record,Date & Time, Int temp, Int pressure, Dome temp,
1415001,2/27/23 4:57 PM,3.81E+01,-1.16E-01,6.10E+01,0.00E+00
1415002,2/27/23 4:58 PM,3.80E+01,-1.13E-01,6.05E+01,0.00E+00
1415003,2/27/23 4:59 PM,3.79E+01,-1.03E-01,6.04E+01,0.00E+00
1415004,2/27/23 5:00 PM,3.79E+01,-9.11E-02,6.05E+01,0.00E+00
1415005,2/27/23 5:01 PM,3.78E+01,-8.54E-02,6.07E+01,0.00E+00
1415006,2/27/23 5:02 PM,3.78E+01,-8.10E-02,6.08E+01,0.00E+00
1415007,2/27/23 5:03 PM,3.77E+01,-7.96E-02,6.08E+01,0.00E+00
1415008,2/27/23 5:04 PM,3.77E+01,-8.25E-02,6.06E+01,0.00E+00
1415009,2/27/23 5:05 PM,3.77E+01,-7.96E-02,6.08E+01,0.00E+00
1415010,2/27/23 5:06 PM,3.77E+01,-7.09E-02,6.05E+01,0.00E+00
1415011,2/27/23 5:07 PM,3.76E+01,-6.37E-02,6.06E+01,0.00E+00
1415012,2/27/23 5:08 PM,3.76E+01,-7.52E-02,6.04E+01,0.00E+00
1415013,2/27/23 5:09 PM,3.76E+01,-6.22E-02,6.02E+01,0.00E+00
1415014,2/27/23 5:10 PM,3.76E+01,-6.37E-02,5.99E+01,0.00E+00
1415015,2/27/23 5:11 PM,3.76E+01,-4.63E-02,5.95E+01,0.00E+00
1415016,2/27/23 5:12 PM,3.76E+01,-5.93E-02,5.94E+01,0.00E+00
1415017,2/27/23 5:13 PM,3.75E+01,-4.77E-02,5.96E+01,0.00E+00
1415018,2/27/23 5:14 PM,3.75E+01,-5.06E-02,5.95E+01,0.00E+00
1415019,2/27/23 5:15 PM,3.75E+01,-5.64E-02,5.95E+01,0.00E+00
1415020,2/27/23 5:16 PM,3.75E+01,-5.50E-02,5.95E+01,0.00E+00
1415021,2/27/23 5:17 PM,3.75E+01,-5.21E-02,5.92E+01,0.00E+00
1415022,2/27/23 5:18 PM,3.75E+01,-4.92E-02,5.91E+01,0.00E+00
1415023,2/27/23 5:19 PM,3.75E+01,-4.20E-02,5.87E+01,0.00E+00
1415024,2/27/23 5:20 PM,3.75E+01,-5.50E-02,5.87E+01,0.00E+00
1415025,2/27/23 5:21 PM,3.75E+01,-4.48E-02,5.88E+01,0.00E+00
1415026,2/27/23 5:22 PM,3.75E+01,-4.92E-02,5.87E+01,0.00E+00
